[ 2025-06-18 11:45:10,648 ] 17 root - INFO - Initiated the data ingestion config
[ 2025-06-18 11:45:13,676 ] 68 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 11:45:13,676 ] 70 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 11:45:13,676 ] 78 root - INFO - Exporting train and test file path.
[ 2025-06-18 11:45:13,702 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-18 11:45:13,702 ] 21 root - INFO - Data ingestion completed
[ 2025-06-18 11:45:13,705 ] 25 root - INFO - Initiated the data validation config
[ 2025-06-18 11:45:13,715 ] 37 root - INFO - Required number of columns: 2
[ 2025-06-18 11:45:13,716 ] 38 root - INFO - Dataframe has columns:31
[ 2025-06-18 11:45:13,716 ] 37 root - INFO - Required number of columns: 2
[ 2025-06-18 11:45:13,716 ] 38 root - INFO - Dataframe has columns:31
[ 2025-06-18 11:45:13,808 ] 29 root - INFO - Data Validation completed
[ 2025-06-18 11:45:13,808 ] 33 root - INFO - Initiated the data transformation config
[ 2025-06-18 11:45:13,808 ] 61 root - INFO - Entered initiate_data_transformation method of DataTransformtion class 
[ 2025-06-18 11:45:13,808 ] 63 root - INFO - Starting data transformation
[ 2025-06-18 11:45:13,819 ] 45 root - INFO - Entered get_data_transformer_object method of Transformatiion class
[ 2025-06-18 11:45:13,819 ] 51 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 11:45:13,824 ] 44 root - INFO - Entered the save object method of MainUtils class
[ 2025-06-18 11:45:13,825 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 11:45:13,825 ] 37 root - INFO - Data Transformation completed
